session,bill_identifier,classification,name,party,entity_type,source_url
80,AB240,primary,Senator Julia Ratti,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/13
80,AB240,primary,Senator Ben Kieckhefer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/16
80,AB240,cosponsor,Assemblywoman Lisa Krasner,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/26
80,AB240,cosponsor,Assemblywoman Jill Tolles,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/25
80,AB244,primary,Assemblyman Al Kramer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/40
80,AB247,primary,Assemblyman Jason Frierson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/8
80,AB247,primary,Assemblywoman Daniele Monroe-Moreno,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/1
80,AB247,primary,Assemblyman Tyrone Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/17
80,AB247,primary,Assemblyman Steve Yeager,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/9
80,AB247,primary,Assemblywoman Teresa Benitez-Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/27
80,AB247,cosponsor,Assemblywoman Shea Backus,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/37
80,AB247,cosponsor,Assemblywoman Sandra Jauregui,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/41
80,AB247,cosponsor,Assemblywoman Heidi Swank,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/16
80,AB266,primary,Assemblywoman Shannon Bilbray-Axelrod,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/34
80,AB275,primary,Assemblywoman Selena Torres,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/3
80,AB275,primary,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB275,primary,Assemblyman Alexander Assefa,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/42
80,AB275,primary,Assemblyman Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/28
80,AB275,primary,Senator Moises Denis,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/2
80,AB275,primary,Senator David Parks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/7
80,AB275,primary,Senator Yvanna Cancela,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/10
80,AB275,cosponsor,Assemblyman Richard Carrillo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/18
80,AB275,cosponsor,Assemblywoman Bea Duran,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/11
80,AB275,cosponsor,Assemblyman Ozzie Fumo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/21
80,AB275,cosponsor,Assemblywoman Sandra Jauregui,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/41
80,AB275,cosponsor,Assemblywoman Susie Martinez,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/12
80,AB275,cosponsor,Assemblyman William McCurdy,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/6
80,AB275,cosponsor,Assemblywoman Daniele Monroe-Moreno,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/1
80,AB275,cosponsor,Assemblywoman Dina Neal,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/7
80,AB275,cosponsor,Assemblywoman Ellen Spiegel,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/20
80,AB275,cosponsor,Senator Dallas Harris,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/11
80,AB289,primary,Assemblyman Tyrone Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/17
80,AB289,primary,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB289,primary,Assemblywoman Ellen Spiegel,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/20
80,AB289,primary,Assemblyman Richard Carrillo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/18
80,AB289,primary,Senator Moises Denis,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/2
80,AB289,cosponsor,Assemblyman Ozzie Fumo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/21
80,AB289,cosponsor,Assemblywoman Michelle Gorelow,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/35
80,AB289,cosponsor,Assemblyman William McCurdy,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/6
80,AB289,cosponsor,Assemblywoman Selena Torres,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/3
80,AB289,cosponsor,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB289,cosponsor,Senator Marilyn Dondero Loop,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/8
80,AB289,cosponsor,Senator Dallas Harris,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/11
80,AB289,cosponsor,Senator Joyce Woodhouse,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/5
80,AB294,primary,Assemblywoman Selena Torres,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/3
80,AB294,primary,Assemblywoman Teresa Benitez-Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/27
80,AB294,cosponsor,Assemblywoman Shea Backus,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/37
80,AB294,cosponsor,Assemblyman Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/28
80,AB294,cosponsor,Assemblyman Jason Frierson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/8
80,AB294,cosponsor,Assemblywoman Sandra Jauregui,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/41
80,AB294,cosponsor,Assemblywoman Susie Martinez,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/12
80,AB294,cosponsor,Assemblywoman Connie Munk,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/4
80,AB294,cosponsor,Assemblywoman Rochelle Nguyen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/10
80,AB294,cosponsor,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB294,cosponsor,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB308,primary,Assemblywoman Daniele Monroe-Moreno,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/1
80,AB308,primary,Assemblyman Ozzie Fumo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/21
80,AB308,primary,Assemblywoman Shannon Bilbray-Axelrod,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/34
80,AB308,primary,Assemblyman Alexander Assefa,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/42
