created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2021-11-22 11:16:28.739078+00:00,2023-01-19 12:27:51.332582+00:00,{},ocd-organization/194e0e12-5e44-4a8f-b313-c7f7ba48ced3,Finance - Division II,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=26', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=26', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.146713+00:00,2023-01-19 12:27:51.700361+00:00,{},ocd-organization/2826e812-71ed-43e6-9d2a-6006f246a5cb,Education,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=1', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=1', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.530858+00:00,2023-01-19 12:27:52.507145+00:00,{},ocd-organization/e31f279a-d38d-4145-9043-d65e250763ee,Energy and Natural Resources,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=41', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=41', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.192154+00:00,2023-01-19 12:27:52.874003+00:00,{},ocd-organization/5632f087-fbb4-4e3d-82fd-6d0b700fdc9e,Transportation,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=34', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=34', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.318923+00:00,2023-01-19 12:27:53.237563+00:00,{},ocd-organization/e10c1db5-45c1-4285-81f1-c171e143ad1f,Ways and Means,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=35', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=35', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.458654+00:00,2023-01-19 12:27:53.602323+00:00,{},ocd-organization/16f4c37a-2724-46b4-ba0c-f104c274021b,Judiciary,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=33', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=33', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.858772+00:00,2023-01-19 12:27:54.336591+00:00,{},ocd-organization/3ffaaa6e-cfcd-4898-add3-801b84201f94,Executive Departments and Administration,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=31', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=31', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.600762+00:00,2023-01-19 12:27:55.064811+00:00,{},ocd-organization/32afda9c-cbea-4e5d-83b3-bbaf8b887680,Education,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=45', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=45', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.729134+00:00,2023-01-19 12:27:55.428293+00:00,{},ocd-organization/fca3606e-fa9a-43a1-84d5-aae704cf83d8,Health and Human Services,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=46', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=46', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.386757+00:00,2023-01-19 12:27:55.792506+00:00,{},ocd-organization/45bbb859-270e-4483-9c65-bf3cd7606d98,Commerce,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=40', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=40', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.254748+00:00,2023-01-19 12:27:56.157861+00:00,{},ocd-organization/ef14ca7a-36b0-4105-8c5e-43762197effc,Rules and Enrolled Bills,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=1328', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=1328', 'note': 'homepage'}]",[]
