id,vote_event_id,option,value
6a9b5711-2e24-4724-a91a-450ad05b6a28,ocd-vote/60b3d7e6-8ea7-4107-836e-4bc6d26bb1f6,no,4
821b35a2-c049-420f-bc1e-980e38d47b08,ocd-vote/60b3d7e6-8ea7-4107-836e-4bc6d26bb1f6,yes,20
af73a4a1-6ec7-4a27-8e8b-03e7db85d0b8,ocd-vote/1cc43206-6251-48cf-83b0-c1f1120d4262,other,40
6cd7773f-5343-461e-a793-dd3b621a806e,ocd-vote/1cc43206-6251-48cf-83b0-c1f1120d4262,no,162
df4eca6d-00e3-49eb-a67b-54638d6ef95e,ocd-vote/1cc43206-6251-48cf-83b0-c1f1120d4262,yes,191
eea9a140-5faf-4090-97ea-2be38370e07e,ocd-vote/a78dab9b-b874-4785-ba93-65cb06836640,other,1
99c49bb6-ae08-462c-adb1-7e2519f5f293,ocd-vote/a78dab9b-b874-4785-ba93-65cb06836640,no,0
54c05b62-06e6-4f2b-86dd-0c8aec01de47,ocd-vote/a78dab9b-b874-4785-ba93-65cb06836640,yes,23
43579afb-aac5-4b64-b820-e64e651a6d57,ocd-vote/2316517d-1de9-479e-b256-989d8edde524,no,10
9a9df2cd-e31a-49b4-84ce-449542f696bf,ocd-vote/2316517d-1de9-479e-b256-989d8edde524,yes,14
579969a3-02fb-4cd9-92dd-191a7d8a1d5d,ocd-vote/dd57d31d-a764-400c-9b39-3b248184f73b,no,10
7f983b64-9353-432b-afdb-8928d2218156,ocd-vote/dd57d31d-a764-400c-9b39-3b248184f73b,yes,14
5ad6c9e6-c12b-438a-90e0-e08104f2d395,ocd-vote/bcdf8942-97f2-43e7-a84f-08f1bfb1199b,no,0
bc5a446b-c6c6-4e92-b798-ed832fae821a,ocd-vote/bcdf8942-97f2-43e7-a84f-08f1bfb1199b,yes,24
270a0592-eed7-40b6-ac04-3f476f2b30a5,ocd-vote/5e630526-726e-4038-903f-f8f32fe32f2d,no,12
f1865b8a-0239-4b87-bf8a-e578e668a96c,ocd-vote/5e630526-726e-4038-903f-f8f32fe32f2d,yes,12
2ad3a51d-98bc-4193-81eb-ad241895100c,ocd-vote/cc498c16-1342-4a2a-988d-1da9f05a024e,no,0
94c9215b-5046-41db-95b3-756fa762f9b5,ocd-vote/cc498c16-1342-4a2a-988d-1da9f05a024e,yes,24
46b3a343-61dc-4575-a8fb-f5623316b024,ocd-vote/7de5426b-2502-46b9-bf4e-d454249493d1,other,43
9afd12a2-e9f4-479d-8958-e8e239e2352a,ocd-vote/7de5426b-2502-46b9-bf4e-d454249493d1,no,158
d5a4b1ac-4c28-4a1a-b75e-44775d0c6225,ocd-vote/7de5426b-2502-46b9-bf4e-d454249493d1,yes,195
18a2163e-afe7-497b-a3f1-c48f44a542c8,ocd-vote/ecc0039c-9fea-4fe8-ad6e-b1020eb51b6a,no,0
d01e285f-e3fb-4876-875d-dfc5bd7186dd,ocd-vote/ecc0039c-9fea-4fe8-ad6e-b1020eb51b6a,yes,24
