id,note,url,vote_event_id
f5128958-9f5f-4044-bb34-6050e7bcd7af,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/17f439be-c0f8-46ff-ab67-fafb7210bd6a
be1114d4-4767-4654-a712-ade6fdcd5a7a,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/648ab8d3-aaa0-44c9-9178-3ba98d05b3f8
5a7c77db-7f32-4038-918c-fb0431c45ea5,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/9d54a1ea-1f8a-4005-95f5-0ecb08df7ffb
83bf1a14-1128-4cfd-b699-c4d368ba8e6f,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/d7978814-a652-45ad-a2bd-027e1df25fad
af6fa99a-f9fb-4828-9e3e-9094da00119c,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/bf37ac4c-3c8a-478f-98c2-f85d7ac9f732
5515144c-590e-4ae6-9545-69c866206d04,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/37f10ec4-32d1-4cbe-90c2-f08658985697
4f5e2cab-4a6c-41d3-bd76-42c06e91944f,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/1ea5227d-59e2-45ee-9e9d-21326d2407d9
c444bdf6-ac2a-41e3-b787-b22acae0a8cb,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/2c38cd38-6638-4f7e-8544-0b3b44534205
c1d6612b-9a7a-47c2-8308-db9cec91b4bb,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/9ed38f87-aa13-49f6-8eac-4d2a3a3b19c8
0b424fd0-1672-4770-b62a-920d863ad6f3,,http://gencourt.state.nh.us/dynamicdatafiles/RollCallSummary.txt,ocd-vote/1114769a-e81b-4b74-93fe-f9a5e4b36465
