id,media_type,url,version_id
512c93f9-a2b3-41fc-ae5c-1bf01ff59f6b,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0829h&txtFormat=amend,a500fae8-b59a-4048-ab35-5712247e7fdc
83c8e775-5dc5-4527-b89a-0496e5e983b0,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0477h&txtFormat=amend,8ed00ebf-1f9c-4b60-ac30-b2b8218e2226
17d9ad18-1994-42f6-8a7a-1c43ae46ad23,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=793&txtFormat=html,a30cf4a6-881b-41d3-aee4-25dc8da6622a
96cdf4c8-f2ba-4ea4-891a-04fb20a725d7,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-0416h&txtFormat=amend,de36ad07-d459-4d3a-aee9-418bf9afa4cf
e733065f-8a60-468e-9baa-4023988be9cc,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=661&txtFormat=html,6af83c45-0e16-4a68-9f83-b9a9093c5f97
cd4950d2-63a4-4503-85cb-767e264ef4c1,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=207&txtFormat=html,28593f9f-913e-4bcc-a9ce-7502a3737385
704431ab-cac8-4b4b-929a-42c2b847b059,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2705h&txtFormat=amend,9d7058e6-2b4c-4886-a30d-c599e1a2a989
17149158-7096-42d6-beac-fe9175f2b643,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=187&txtFormat=html,e759fd5e-af84-4c1f-908b-76b5f47f5307
2c9a7fbf-25ae-4a10-a170-95da6feecc63,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2854h&txtFormat=amend,acede670-1291-4ae2-a25d-36a2d7087a9b
26ef3216-5a74-4be0-be99-8aa8fcc91939,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=163&txtFormat=html,c22cafac-787a-43a8-8093-e6293ebfacfc
25b02e68-31f2-4519-bf5e-813931eb925b,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2851h&txtFormat=amend,c99ed375-62ad-445b-95b3-6cea38e717a0
09621ab8-aad6-48ab-ba9a-3eb5afed3836,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=321&txtFormat=html,65abc734-602c-4b01-a29d-05c10b09bb92
e4004ff4-3ded-4e4d-a0e8-16e33d3c5fa2,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-1084s&txtFormat=amend,477a652f-c394-428d-9151-73d96bd4db06
fd7ff148-2e38-4835-9a9a-1af79f9f0af2,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2020-0023s&txtFormat=amend,81d56e18-3846-452b-b980-0b2e36eedbed
edb7c234-ba51-4c0a-ae28-15624d0e645e,application/pdf,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=2019-2755h&txtFormat=amend,3732cdc7-c6ed-49d2-b983-a7c45837e523
a4f0e87c-f65c-434f-8742-d2a8a6093fae,text/html,http://www.gencourt.state.nh.us/bill_status/billText.aspx?sy=2020&id=76&txtFormat=html,b951ec3e-0196-4863-9c2d-e4861b2fac02
