id,name,entity_type,organization_id,person_id,bill_id,primary,classification
79cd53c8-90dd-436b-b91e-0276896fb398,David H. Watters,person,,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,False,cosponsor
9452f59a-2b1f-453c-af1d-e8c0ca5e44fe,Bill Boyd,person,,ocd-person/6f592f37-cac8-4bf0-b12c-3a86f9b444dc,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
77a14a82-6a3c-478c-828e-c1073e2bba89,Denise Ricciardi,person,,ocd-person/8dc59c94-caba-41b2-a6ba-6bca0f595118,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
ae2b2a88-af73-4762-acb2-0cf6e5dbcc99,Judy F. Aron,person,,ocd-person/533fb85c-c4f0-41f3-9bc6-8b1c422a9693,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
f28f6066-1cd9-49f7-94de-a1b307eb8e8b,Jaci L. Grote,person,,ocd-person/26f01212-5287-4735-aa1f-77e4f0d2acb6,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
2ddfc5ff-0b6c-40ac-b09e-9c2365082465,Jim V. Maggiore,person,,ocd-person/deb760cf-91f7-415c-949a-bab0c5311d6f,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
12564ed1-ea18-4448-9abe-261476731848,Megan A. Murray,person,,ocd-person/f1902aac-3930-478d-9e89-60cef8bcae0b,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
6238976a-0f4e-41b4-a735-2d0db9d65445,Rosemarie Rung,person,,ocd-person/1a5923c6-3e1f-4ebe-8739-17c9e9642403,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
71aa1c81-b4d5-45b5-a7c2-1c6edd1466f7,Maureen C. Mooney,person,,ocd-person/4a80db99-34b2-4d33-995b-41d889592bf3,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
d8fe6ed5-a526-4a89-afda-cae079543567,Dan H. Wolf,person,,ocd-person/d24c83af-3362-4925-9c05-a6b776d3314c,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
5868f221-82a8-4590-a198-e026db443d4f,Kevin A. Avard,person,,ocd-person/b99b0bbb-4710-43c7-a6b5-0e04524eedf0,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
9f0bb610-c535-4d88-9bef-808ba75562a0,Karen E. Ebel,person,,ocd-person/947e2e2b-04eb-4f92-9f83-aef8760517e0,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,True,primary
50bda61a-5e8a-4d65-92c6-29f36cafb353,Thomas L. Buco,person,,ocd-person/22809c1b-0676-4ad9-8d0e-8a0a9d19063a,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
d526388b-ca64-49bd-8389-fb403ffb4dca,David H. Watters,person,,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
020802d0-0011-4dac-a9d6-21ec81bd5750,Lou D'Allesandro,person,,ocd-person/87c48788-817d-408b-a1e1-ebe1c9fd893d,ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,False,cosponsor
f4e932e5-bee1-45a5-9f08-b094b26a0cc7,David A. Bickford,person,,ocd-person/e31ccc42-68c0-4f1c-b78d-c857f0060df0,ocd-bill/1f9ecdb8-1809-47b3-a8e6-3f8622732e8d,True,primary
c00a69d5-3e5c-43fa-9b5c-618d1a6ac387,Glenn Bailey,person,,ocd-person/56f58b74-b3b6-4f73-ad18-15af5119c4bc,ocd-bill/a4c1f400-423d-4c29-b73e-34758b4ca73b,True,primary
248cc3fb-c368-4416-973d-73518087f461,Jason Gerhard,person,,ocd-person/9726db41-c8d6-4eb7-b860-c1953880b9ff,ocd-bill/909fe3dd-88d8-44ea-80c4-0ce87766c734,True,primary
d1d38363-88f7-4d06-8622-17dfaf0d76a7,Rosemarie Rung,person,,ocd-person/1a5923c6-3e1f-4ebe-8739-17c9e9642403,ocd-bill/344036c3-b244-424c-9bb5-4ee83c33a270,False,cosponsor
0ed86d8d-3dfe-41cd-9f99-16c2f5263281,Kat McGhee,person,,ocd-person/4c8bec8a-e86d-4316-8b2e-2f8c4157cae5,ocd-bill/344036c3-b244-424c-9bb5-4ee83c33a270,True,primary
f4484912-7ff5-456b-a24c-b371690a0120,Michael D. Harrington,person,,ocd-person/21e95dbc-c226-4f4a-9fa2-8f5b374d0a98,ocd-bill/22712b81-1040-4ad9-bdcf-dfe545ec6e53,True,primary
4ea3cefb-4795-419f-9685-95765cc850bd,Erica J. Layon,person,,ocd-person/94df7a3f-b27d-42c1-9ecc-1ebdc707c9ae,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
9efec91f-6c83-4e7e-9868-1721a11c14e0,Jose E. Cambrils,person,,ocd-person/3d1f7d21-9a20-4245-b51f-03ca0d2b14eb,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,True,primary
04582b8c-30d0-40f4-9790-c469d3808279,Leah P. Cushman,person,,ocd-person/b9ca7e25-b8c9-47c8-aac3-4b688cbcea42,ocd-bill/3639e173-981f-4533-ad44-4a6fe7033999,False,cosponsor
