id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/420d834c-68d9-46b9-989a-0789cd8f5e0d,,Inexpedient to Legislate,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/3e2cb6a5-a693-4566-8b99-0d4a743ecf66,,New Hampshire,2024
ocd-vote/8c6719fc-ae38-47d5-908e-af53d4dd4be5,,Inexpedient to Legislate,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/e46b9b6d-ed5c-45c0-a74a-1abaa7345729,,New Hampshire,2024
ocd-vote/da1a2ddf-1d6f-43df-b343-5261ace68d08,,Committee Amendment,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/0f48e65b-91d4-439e-b199-f09a4ee8e2cb,,New Hampshire,2024
ocd-vote/fdc5576b-e824-4d00-a680-73290781a896,,Inexpedient to Legislate,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/b1446648-6978-42b6-89ea-e7913fce74c0,,New Hampshire,2024
ocd-vote/65ce0c2d-afb2-477f-9316-a5c0fdaf8bf8,,Inexpedient to Legislate,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/e07e0f45-3397-457e-8d10-3a611bb74e2e,,New Hampshire,2024
ocd-vote/0e66f44c-4e15-4f10-beb3-94a5ee982ba6,,Inexpedient to Legislate,['passage'],2024-02-15T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/84218920-9800-4575-aafe-7f867b041fc5,,New Hampshire,2024
ocd-vote/5b62648b-d236-419b-ac12-b8a25dc73c5e,,OTP,['passage'],2024-02-15T14:08:26-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fd85851e-7682-42d2-960e-4831a2da90c8,,New Hampshire,2024
ocd-vote/36cbf34e-eccb-4cc7-898d-116b08752434,,ITL,['passage'],2024-02-15T14:11:06-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fd85851e-7682-42d2-960e-4831a2da90c8,,New Hampshire,2024
ocd-vote/01728996-c613-4b0e-999b-89a4a602f511,,Adopt Floor Amendment,['passage'],2024-02-15T14:20:38-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/267ee43c-bfec-446e-b982-289255283f52,,New Hampshire,2024
ocd-vote/d6358e02-30f6-48b3-b25f-317dc7fbd2aa,,Shall Member Continue,['passage'],2024-02-15T14:32:16-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/267ee43c-bfec-446e-b982-289255283f52,,New Hampshire,2024
ocd-vote/bbe3f104-30e3-474d-9869-389bac609092,,Table,['passage'],2024-02-15T14:45:59-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/267ee43c-bfec-446e-b982-289255283f52,,New Hampshire,2024
ocd-vote/a9208c44-bdd7-4abd-a3ca-7e58e1ac938f,,Print Remarks,['passage'],2024-02-15T14:48:32-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/267ee43c-bfec-446e-b982-289255283f52,,New Hampshire,2024
ocd-vote/49fdbf8e-d95e-4a9e-947a-727e465b8624,,ITL,['passage'],2024-02-15T15:19:44-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/0bb471b0-1be9-432a-9940-65d0e9a13ef6,,New Hampshire,2024
ocd-vote/90c73339-69d1-4528-919d-e69c141ac4b8,,OTP,['passage'],2024-02-15T15:40:43-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/f3e3bc02-e3e6-4242-80ad-e992fe30b2ec,,New Hampshire,2024
ocd-vote/4adefc8e-99ed-4f68-a615-ee6f1ef4634f,,Reconsider,['passage'],2024-02-15T15:51:55-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fd85851e-7682-42d2-960e-4831a2da90c8,,New Hampshire,2024
ocd-vote/97fbf661-13b8-4fa7-a05c-080d07145219,,OTP,['passage'],2024-02-15T16:04:17-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/fd85851e-7682-42d2-960e-4831a2da90c8,,New Hampshire,2024
ocd-vote/d4df1099-6e1b-4652-8035-8e8af3c805d5,,ITL,['passage'],2024-02-15T16:43:32-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/449e717b-2012-45f8-b84d-2eaae44cc05d,,New Hampshire,2024
ocd-vote/350c67ad-1690-4060-ae7c-f011bae76d23,,OTP,['passage'],2024-02-15T16:58:53-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/2d4624ee-2990-44fe-a10b-7e24ee615508,,New Hampshire,2024
ocd-vote/4af3fe82-e551-4261-968f-ed3248a46440,,OTP,['passage'],2024-02-15T17:21:24-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/586bf1cb-fb19-4579-ae93-7d7206c2c0d1,,New Hampshire,2024
ocd-vote/b610ce5a-2b66-4761-9d65-4b122a715242,,OTP,['passage'],2024-02-15T17:45:12-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/267ee43c-bfec-446e-b982-289255283f52,,New Hampshire,2024
ocd-vote/e15b35a2-6a60-4faa-a06f-55d4401b9f9d,,Indefinitely Postpone,['passage'],2024-02-15T17:47:32-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/267ee43c-bfec-446e-b982-289255283f52,,New Hampshire,2024
ocd-vote/2b6ee6b8-3d85-448d-b9f9-885bed032ceb,,OTP,['passage'],2024-02-15T18:02:54-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/bae51d2a-4c93-449d-a4d8-1c3b8f92f357,,New Hampshire,2024
ocd-vote/fdb6586f-2085-4e44-b377-aba7e83b7cdd,,Ought to Pass,['passage'],2024-02-21T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/d3d6dc34-096a-4539-aa03-5bffcd51f9b7,,New Hampshire,2024
ocd-vote/be25b924-c85d-4a2f-bb6e-afd003e26564,,Refer to Interim Study,['passage'],2024-02-21T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/12e73617-fcd5-4118-8944-24a9f30da8ab,,New Hampshire,2024
ocd-vote/bbd7840c-a3e1-4183-85a6-70ee79090701,,Committee Amendment,['passage'],2024-02-21T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/ec6bbb0e-64fc-4330-bddd-1b2d25481114,,New Hampshire,2024
ocd-vote/fd838af4-a0c1-464a-80e7-3a259fd241da,,Ought to Pass w/Amendment,['passage'],2024-02-21T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/fe6b9e9c-86a6-4d1b-88f5-8dec44f097fb,,New Hampshire,2024
