id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/5ae161a8-80ec-46d9-b626-c31ba098a43e,SB 423,relative to mandatory disclosure of insurance policy limits.,['bill'],[],2024,New Hampshire,upper
ocd-bill/089014d6-79ff-4165-8fe2-a3454ec5395a,HB 1029,relative to exempting certain persons from requiring a New Hampshire landing license if such persons are not landing for the purpose of the sale of the lobster or crab they have caught.,['bill'],[],2024,New Hampshire,lower
ocd-bill/f789dbad-c6ca-4ec6-b252-02894bf0918c,HB 1128,relative to the definition of a scholarship organization for purposes of the education tax credit.,['bill'],[],2024,New Hampshire,lower
ocd-bill/342c629f-fefd-42c9-812e-d24c38562768,HB 276,establishing the cyanobacteria mitigation loan and grant fund.,['bill'],[],2024,New Hampshire,lower
ocd-bill/82b42e68-6400-4d89-a559-d10057da060f,HB 1290,relative to protection of employment for members of the general court.,['bill'],[],2024,New Hampshire,lower
ocd-bill/aecf45f1-82e5-432f-b055-036e46062f33,HB 1465,relative to studies of nuclear energy technologies and renaming the office of offshore wind industry development.,['bill'],[],2024,New Hampshire,lower
ocd-bill/e71f4c1a-efff-47bc-be7c-dcc671d7569d,SB 335,relative to alcohol packaging.,['bill'],[],2024,New Hampshire,upper
ocd-bill/81ea2f72-3c11-4f43-a2fc-64f1e43958ce,HB 1651,relative to combining the board of tax and land appeals and the housing appeals board.,['bill'],[],2024,New Hampshire,lower
ocd-bill/affa93df-15c3-4a31-896d-c66d8221ff65,SB 379,relative to emergency action plans for sports related injuries.,['bill'],[],2024,New Hampshire,upper
ocd-bill/639549cf-8a5e-4142-884c-553325419ec4,SB 576,relative to reporting the death of voters.,['bill'],[],2024,New Hampshire,upper
ocd-bill/dfb27bf4-ee62-4b4f-ad3a-583b2f72c71f,SB 496,directing the department of health and human services to establish a climate and health protection program.,['bill'],[],2024,New Hampshire,upper
ocd-bill/65946274-f4d8-4611-9e73-1f002cf1036d,SB 176,relative to insurance coverage for pelvic floor therapy.,['bill'],[],2024,New Hampshire,upper
ocd-bill/2b37aac9-700f-40b6-bb86-ecf14fff95fe,SB 442,"relative to student eligibility for education freedom accounts and the scholarship organization's costs of administering the program, extending phase-out grants for education freedom accounts, and revising the definitions of average daily membership in attendance and average daily membership in residence.",['bill'],[],2024,New Hampshire,upper
ocd-bill/86294bd9-f100-40d4-ae94-3af140fd6b66,HB 1170,requiring public benefit and community impact assessments from the department of environmental services.,['bill'],[],2024,New Hampshire,lower
ocd-bill/e66c9a53-0009-4e67-b647-b719a0afbe9a,SB 112,relative to pari-mutuel pools and historic horse racing.,['bill'],[],2024,New Hampshire,upper
