id,vote_event_id,option,voter_name,voter_id,note
41c67ec3-ba26-4bd4-a90d-d5f87ed190a9,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,J.R. Hoell,ocd-person/01cfe997-f42c-4ba3-979b-fb7f70acda3e,
93545213-f762-4590-b0d4-dee001188b69,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,David C. Lundgren,ocd-person/4e9bb139-f952-4fda-bce1-f1bb16c585e3,
0342baf4-88a8-41d5-bef4-fe1ad87afb79,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Lou D'Allesandro,ocd-person/87c48788-817d-408b-a1e1-ebe1c9fd893d,
6ee71238-fb6a-4218-a067-6fd218cb8811,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Sharon M. Carson,ocd-person/00964fc0-dd57-44c3-87bf-b6d5bbc34560,
a5eb9a6e-0747-458f-b485-5d819ebeb5ee,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Jeb Bradley,ocd-person/3f5455e8-256e-4442-9c13-bc14f62ce76f,
e724a821-badd-4601-88f4-9d6b59d90926,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,David H. Watters,ocd-person/cf24defe-6df3-49f3-88ca-c6774b144f19,
c5124eef-4411-486d-b81f-8405e2a98c8a,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Donna M. Soucy,ocd-person/bfbbacfd-e12a-4e07-970e-c2c2c006f4a2,
6d3041fe-529f-4a12-87fe-88c0303ecdf3,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Kevin A. Avard,ocd-person/b99b0bbb-4710-43c7-a6b5-0e04524eedf0,
ae073b10-6deb-4729-b7aa-9031b9c86da1,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,yes,Regina Birdsell,ocd-person/461c9024-c8c3-44a5-91d6-015a6587db5f,
66e3c72f-c364-44de-a7f4-db1ee45172c8,ocd-vote/0fa1bf5b-6084-4315-8f4f-2db76e0d9035,no,Shannon E. Chandley,ocd-person/92b62a3f-15ef-4cd6-9073-14d32a3eb74b,
