session,bill_identifier,vote_kind,chamber_or_committee,motion,date,result,voter_name,vote,party,party_source,minutes_url
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Backus, Shea",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Anderson, Natha C.",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Brown-May, Tracy",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Miller, Cameron (C.H.)",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Watts, Howard",yea,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Kasama, Heidi",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"O’Neill, PK",yea,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"II, Gregory T. Hafen",yea,,,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Dickman, Jill",absent,Republican,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
82,SB493,committee_work_session,Assembly Ways and Means,DO PASS,"Thursday, June 1, 2023 8:00 AM",pass,"Yeager, Steve",absent,Democratic,nelis_legislator_directory,https://www.leg.state.nv.us/Session/82nd2023/Minutes/Assembly/WM/Final/1325.pdf
